cs_year,date_occur,crime,description,ileads_address,ileads_street,address,address_norm
2008,01/12/2008 12:37,10000,HOMICIDE,5738,TERRY AVE,5738 TERRY AVE,5738 Terry Ave
2008,01/17/2008 04:00,10000,HOMICIDE,5356,PAGE BLVD,5356 PAGE BLVD,5356 Page Blvd
2008,01/20/2008 21:19,10000,HOMICIDE,5826,ROOSEVELT PL,5826 ROOSEVELT PL,5826 Roosevelt Pl
2008,01/21/2008 17:38,10000,HOMICIDE,3859,OHIO AVE,3859 OHIO AVE,3859 Ohio Ave
2008,01/30/2008 15:34,10000,HOMICIDE,4100,SAINT LOUIS AVE,4100 SAINT LOUIS AVE,4100 Saint Louis Ave
2008,01/30/2008 19:19,10000,HOMICIDE,2418,N EUCLID AVE,2418 N EUCLID AVE,2418 N Euclid Ave
2008,02/04/2008 17:45,10000,HOMICIDE,1646,S 39TH ST,1646 S 39TH ST,1646 S 39th St
2008,02/09/2008 17:30,10000,HOMICIDE,5617,ENRIGHT AVE,5617 ENRIGHT AVE,5617 Enright Ave
2008,02/09/2008 22:59,10000,HOMICIDE,5001,N KINGSHIGHWAY BLVD,5001 N KINGSHIGHWAY BLVD,5001 N Kingshighway Blvd
2008,02/11/2008 21:50,10000,HOMICIDE,1500,CASS AVE,1500 CASS AVE,1500 Cass Ave
2008,02/12/2008 22:24,10000,HOMICIDE,1411,LOCUST ST,1411 LOCUST ST,1411 Locust St
2008,02/16/2008 16:51,10000,HOMICIDE,4769,NORTHLAND AVE,4769 NORTHLAND AVE,4769 Northland Ave
2008,02/21/2008 20:35,10000,HOMICIDE,5889,LOTUS AVE,5889 LOTUS AVE,5889 Lotus Ave
2008,02/22/2008 10:44,10000,HOMICIDE,4104,W LEE AVE,4104 W LEE AVE,4104 W Lee Ave
2008,02/23/2008 06:02,10000,HOMICIDE,8527,TARA LN,8527 TARA LN,8527 Tara Ln
2008,02/25/2008 11:40,10000,HOMICIDE,4734,S GRAND BLVD,4734 S GRAND BLVD,4734 S Grand Blvd
2008,02/25/2008 20:11,10000,HOMICIDE,5241,LOTUS AVE,5241 LOTUS AVE,5241 Lotus Ave
2008,02/25/2008 20:25,10000,HOMICIDE,4986,ROSALIE ST,4986 ROSALIE ST,4986 Rosalie St
2008,02/27/2008 02:05,10000,HOMICIDE,5865,LOTUS AVE,5865 LOTUS AVE,5865 Lotus Ave
2008,02/28/2008 19:34,10000,HOMICIDE,5957,FERRIS AVE,5957 FERRIS AVE,5957 Ferris Ave
2008,03/02/2008 18:00,10000,HOMICIDE,4428,VISTA AVE,4428 VISTA AVE,4428 Vista Ave
2008,03/06/2008 23:00,10000,HOMICIDE,5726,WATERMAN BLVD,5726 WATERMAN BLVD,5726 Waterman Blvd
2008,03/07/2008 04:50,10000,HOMICIDE,4448,FARLIN AVE,4448 FARLIN AVE,4448 Farlin Ave
2008,03/10/2008 00:01,10000,HOMICIDE,4462,CLARENCE AVE,4462 CLARENCE AVE,4462 Clarence Ave
2008,03/10/2008 00:45,10000,HOMICIDE,3724,MINNESOTA AVE,3724 MINNESOTA AVE,3724 Minnesota Ave
2008,03/11/2008 15:35,10000,HOMICIDE,4275,W CARTER AVE,4275 W CARTER AVE,4275 W Carter Ave
2008,03/17/2008 18:23,10000,HOMICIDE,4990,CHILDRENS PL,4990 CHILDRENS PL,4990 Childrens Pl
2008,04/02/2008 15:50,10000,HOMICIDE,4947,ALCOTT AVE,4947 ALCOTT AVE,4947 Alcott Ave
2008,04/09/2008 01:20,10000,HOMICIDE,4240,ENRIGHT AVE,4240 ENRIGHT AVE,4240 Enright Ave
2008,04/10/2008 17:00,10000,HOMICIDE,5232,LOUISIANA AVE,5232 LOUISIANA AVE,5232 Louisiana Ave
2008,04/14/2008 19:00,10000,HOMICIDE,3933,LABADIE AVE,3933 LABADIE AVE,3933 Labadie Ave
